CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
,AccessConnectionName,ATM,ATM_PURPLE,AccessConnection,,Access Connection Name,View Request V4,0
MTN_ACCESS,Address1,ATM,ATM_PURPLE,SiteInformation,Address1,,View Request V4,0
MTN_ACCESS,Address2,ATM,ATM_PURPLE,SiteInformation,Address2,,View Request V4,0
MTN_ACCESS,Address3,ATM,ATM_PURPLE,SiteInformation,Address3,,View Request V4,0
MTN_ACCESS,ATMProfile,ATM,ATM_PURPLE,ServiceOptions,,Profile,View Request V4,0
MTN_ACCESS,CellScrambling,ATM,ATM_PURPLE,ServiceOptions,,Cell Scrambling,View Request V4,0
MTN_ACCESS,CircuitAlreadyInPlace,ATM,ATM_PURPLE,AccessConnection,,In Place,View Request V4,0
MTN_ACCESS,CircuitOrderedBy,ATM,ATM_PURPLE,AccessConnection,,Circuit Ordered by,View Request V4,0
MTN_ACCESS,CircuitSpeed,ATM,ATM_PURPLE,AccessConnection,,Circuit Speed,View Request V4,0
MTN_ACCESS,CircuitType,ATM,ATM_PURPLE,AccessConnection,,Circuit Type,View Request V4,0
MTN_ACCESS,CityCode,ATM,ATM_PURPLE,SiteInformation,CityCode,,View Request V4,0
MTN_ACCESS,CityName,ATM,ATM_PURPLE,SiteInformation,CityName,,View Request V4,0
MTN_ACCESS,ConnectionAddress,ATM,ATM_PURPLE,AccessConnection,,Local ATM Type Address,View Request V4,0
MTN_ACCESS,ContactName,ATM,ATM_PURPLE,SiteContact,ContactName,,View Request V4,0
MTN_ACCESS,CountryCode,ATM,ATM_PURPLE,SiteInformation,CountryCode,,View Request V4,0
MTN_ACCESS,CreationDate,ATM,ATM_PURPLE,VERSION,,,"if ordersentdate is null, use this date",0
MTN_ACCESS,CSPFaultManagement,ATM,ATM_PURPLE,ServiceOptions,,CSP Fault Management,View Request V4,0
MTN_ACCESS,CSPProjectManagement,ATM,ATM_PURPLE,ServiceOptions,,CSP Project Management,View Request V4,0
MTN_ACCESS,CSPServiceManagement,ATM,ATM_PURPLE,ServiceOptions,,CSP Service Management,View Request V4,0
MTN_ACCESS,CustCode,ATM,ATM_PURPLE,VERSION,CustHandle,,View Request V4,0
MTN_ACCESS,CustomerDefinedCode,ATM,ATM_PURPLE,AccessConnection,,Local Customer Defined Code,View Request V4,0
MTN_ACCESS,CustomerLastModifDate,ATM,ATM_PURPLE,SiteInformation,LastModifDate,,View Request V4,0
MTN_ACCESS,EmailAddress,ATM,ATM_PURPLE,SiteContact,EmailAddress,,View Request V4,0
MTN_ACCESS,FaxNumber,ATM,ATM_PURPLE,SiteContact,FaxNumber,,View Request V4,0
MTN_ACCESS,IMAFlag,ATM,ATM_PURPLE,AccessConnection,,IMA,View Request V4,0
MTN_ACCESS,IMALinksType,ATM,ATM_PURPLE,AccessConnection,,,View Request V4,0
MTN_ACCESS,KeepInPlace,ATM,ATM_PURPLE,AccessConnection,,Keep in place,View Request V4,0
MTN_ACCESS,LastModifDate,ATM,ATM_PURPLE,VERSION,OrdersentDate,,View Request V4,0
MTN_ACCESS,NbrOfCirInIMA,ATM,ATM_PURPLE,AccessConnection,,Number of Circuits in IMA,View Request V4,0
MTN_ACCESS,NodeName,ATM,ATM_PURPLE,AccessConnection,,Node Name,View Request V4,0
MTN_ACCESS,PortSpeed,ATM,ATM_PURPLE,AccessConnection,,Port Speed,View Request V4,0
MTN_ACCESS,PostalCode,ATM,ATM_PURPLE,SiteInformation,PostalCode,,View Request V4,0
MTN_ACCESS,PureLayer2Flag,ATM,ATM_PURPLE,,,,View Request V9,0
MTN_ACCESS,SellingEntityCrossReference,ATM,ATM_PURPLE,AccessConnection,,Selling Entity Cross Reference,View Request V4,0
MTN_ACCESS,ServiceOrigin,ATM,ATM_PURPLE,,,,View Request V4,0
MTN_ACCESS,ServiceStatus,ATM,ATM_PURPLE,,,,View Request V4,0
MTN_ACCESS,ServiceSubStatus,ATM,ATM_PURPLE,,,,View Request V4,0
MTN_ACCESS,StateCode,ATM,ATM_PURPLE,SiteInformation,Statecode,,View Request V4,0
MTN_ACCESS,TelephoneNumber,ATM,ATM_PURPLE,SiteContact,TelephoneNumber,,View Request V4,0
MTN_ACCESS,TerminationInterface,ATM,ATM_PURPLE,AccessConnection,,Termination Interface,View Request V4,0
MTN_ACCESS,S_Type,ATM,ATM_PURPLE,VERSION,ServiceID,,View Request V4,0
MTN_ACCESS,UserRepertoryName,ATM,ATM_PURPLE,AccessConnection,,Local User Repertory Name,View Request V4,0
MTN_ACCESS,USID,ATM,ATM_PURPLE,AccessConnection,ID,,View Request V4,0
,AccessConnectionName,FR,FRAME_RELAY_PURPLE,AccessConnection,,Access Connection Name,View Request V4,0
MTN_ACCESS,Address1,FR,FRAME_RELAY_PURPLE,SiteInformation,Address1,,View Request V4,0
MTN_ACCESS,Address2,FR,FRAME_RELAY_PURPLE,SiteInformation,Address2,,View Request V4,0
MTN_ACCESS,Address3,FR,FRAME_RELAY_PURPLE,SiteInformation,Address3,,View Request V4,0
MTN_ACCESS,CircuitAlreadyInPlace,FR,FRAME_RELAY_PURPLE,AccessConnection,,In Place,View Request V4,0
MTN_ACCESS,CircuitOrderedBy,FR,FRAME_RELAY_PURPLE,AccessConnection,,Circuit Ordered by,View Request V4,0
MTN_ACCESS,CircuitSpeed,FR,FRAME_RELAY_PURPLE,AccessConnection,,Circuit Speed,View Request V4,0
MTN_ACCESS,CircuitType,FR,FRAME_RELAY_PURPLE,AccessConnection,,Circuit Type,View Request V4,0
MTN_ACCESS,CityCode,FR,FRAME_RELAY_PURPLE,SiteInformation,CityCode,,View Request V4,0
MTN_ACCESS,CityName,FR,FRAME_RELAY_PURPLE,SiteInformation,CityName,,View Request V4,0
MTN_ACCESS,ConnectionAddress,FR,FRAME_RELAY_PURPLE,AccessConnection,,Local DNA Address,View Request V4,0
MTN_ACCESS,ContactName,FR,FRAME_RELAY_PURPLE,SiteContact,ContactName,,View Request V4,0
MTN_ACCESS,CountryCode,FR,FRAME_RELAY_PURPLE,SiteInformation,CountryCode,,View Request V4,0
MTN_ACCESS,CreationDate,FR,FRAME_RELAY_PURPLE,VERSION,,,"if ordersentdate is null, use this date",0
MTN_ACCESS,CSPFaultManagement,FR,FRAME_RELAY_PURPLE,ServiceOptions,,CSP Fault Management,View Request V4,0
MTN_ACCESS,CSPProjectManagement,FR,FRAME_RELAY_PURPLE,ServiceOptions,,CSP Project Management,View Request V4,0
MTN_ACCESS,CSPServiceManagement,FR,FRAME_RELAY_PURPLE,ServiceOptions,,CSP Service Management,View Request V4,0
MTN_ACCESS,CustCode,FR,FRAME_RELAY_PURPLE,VERSION,CustHandle,,View Request V4,0
MTN_ACCESS,CustomerDefinedCode,FR,FRAME_RELAY_PURPLE,AccessConnection,,Local Customer Defined Code,View Request V4,0
MTN_ACCESS,CustomerLastModifDate,FR,FRAME_RELAY_PURPLE,SiteInformation,LastModifDate,,View Request V4,0
MTN_ACCESS,EmailAddress,FR,FRAME_RELAY_PURPLE,SiteContact,EmailAddress,,View Request V4,0
MTN_ACCESS,FaxNumber,FR,FRAME_RELAY_PURPLE,SiteContact,FaxNumber,,View Request V4,0
MTN_ACCESS,LastModifDate,FR,FRAME_RELAY_PURPLE,VERSION,OrdersentDate,,View Request V4,0
MTN_ACCESS,LMIType,FR,FRAME_RELAY_PURPLE,AccessConnection,,Local Management Interface (LMI Type),View Request V4,0
MTN_ACCESS,MaximumFrameSize,FR,FRAME_RELAY_PURPLE,AccessConnection,,Maximum Frame Size,View Request V4,0
