CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
IP_ACCESS,S_Type,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,ServiceID,,ACQUERY,0
IP_ACCESS,CustCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,CustHandle,,ACQUERY,0
IP_ACCESS,ServiceOrigin,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,,,,ACQUERY,0
IP_ACCESS,ServiceStatus,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,,,,ACQUERY,0
IP_ACCESS,ServiceSubStatus,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,,,,ACQUERY,0
IP_ACCESS,CreationDate,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,,,ACQUERY,0
IP_ACCESS,LastModifDate,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,VERSION,OrdersentDate,,ACQUERY,0
IP_ACCESS,Address1,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,Address1,,ACQUERY,0
IP_ACCESS,Address2,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,Address2,,ACQUERY,0
IP_ACCESS,Address3,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,Address3,,ACQUERY,0
IP_ACCESS,CityCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,CityCode,,ACQUERY,0
IP_ACCESS,CountryCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,CountryCode,,ACQUERY,0
IP_ACCESS,PostalCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,PostalCode,,ACQUERY,0
IP_ACCESS,StateCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,Statecode,,ACQUERY,0
IP_ACCESS,CityName,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,CityName,,ACQUERY,0
IP_ACCESS,ContactName,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteContact,ContactName,,ACQUERY,0
IP_ACCESS,TelephoneNumber,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteContact,TelephoneNumber,,ACQUERY,0
IP_ACCESS,FaxNumber,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteContact,FaxNumber,,ACQUERY,0
