CSIPRODUCTNAME,CSIServcieElementClass,CSIAttributeName,CISValue,CSIValue,Description,Status
ALL,AccessConnection,Circuit Ordered by,Y,Equant,GOLD release 5.1a post,0
ALL,AccessConnection,Circuit Ordered by,N,Customer,GOLD release 5.1a post,0
ALL,AccessConnection,Circuit Speed,19.2,19.2 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,56,56 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,64,64 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,128,128 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,192,192 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,256,256 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,384,384 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,512,512 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,768,768 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,1024,1024 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,1536,1536 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,1920,1920 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,1984,1984 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,2000,2 Mbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,2048,2048 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,3072,3072 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,4000,4 Mbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,4096,4096 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,6000,6 Mbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,6144,6144 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,8000,8 Mbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,8192,8192 Kbps,GOLD release 6.1,0
ALL,AccessConnection,Circuit Speed,10000,10 Mbps,GOLD release 6.1,0
